Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01-Login and Forgot Password,Chrome 114.0.0.0,,,2023-07-19 12:09:43,2023-07-19 12:13:35,3m - 51.222s,FAILED
,,,,,,,
Test Cases/01-Login and Forgot Password/01-Login(Credentials Blank),Chrome 114.0.0.0,,,2023-07-19 12:09:44,2023-07-19 12:10:17,32.947s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 12:09:44,2023-07-19 12:09:46,1.987s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-19 12:09:46,2023-07-19 12:10:11,24.818s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-19 12:10:11,2023-07-19 12:10:11,0.135s,PASSED
"verifyElementPresent(findTestObject(""01-Login and Forgot Password/Login_Card""), 0)",Chrome 114.0.0.0,,,2023-07-19 12:10:11,2023-07-19 12:10:11,0.354s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-19 12:10:11,2023-07-19 12:10:13,2.041s,PASSED
"verifyElementNotClickable(findTestObject(""01-Login and Forgot Password/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-19 12:10:13,2023-07-19 12:10:14,0.363s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-19 12:10:14,2023-07-19 12:10:17,3.005s,PASSED
,,,,,,,
Test Cases/01-Login and Forgot Password/02-Login(Wrong Email),Chrome 114.0.0.0,,,2023-07-19 12:10:17,2023-07-19 12:10:28,11.198s,PASSED
"setText(findTestObject(""01-Login and Forgot Password/input_Email_email""), unregistered_email)",Chrome 114.0.0.0,,,2023-07-19 12:10:17,2023-07-19 12:10:17,0.682s,PASSED
"setEncryptedText(findTestObject(""01-Login and Forgot Password/input_Email_password""), ""pUQNV8a0dCQ="")",Chrome 114.0.0.0,,,2023-07-19 12:10:17,2023-07-19 12:10:18,0.556s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-19 12:10:18,2023-07-19 12:10:21,3.009s,PASSED
"click(findTestObject(""01-Login and Forgot Password/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-19 12:10:21,2023-07-19 12:10:21,0.414s,PASSED
