Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
00-Signup and Account Activation,Chrome 114.0.0.0,,,2023-07-21 10:13:32,2023-07-21 10:15:12,1m - 40.199s,FAILED
,,,,,,,
Test Cases/00-SignUp and Account Activation/01-Signup(Credentials Blank),Chrome 114.0.0.0,,,2023-07-21 10:13:32,2023-07-21 10:13:57,25.443s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-21 10:13:32,2023-07-21 10:13:35,2.460s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-21 10:13:35,2023-07-21 10:13:47,11.965s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-21 10:13:47,2023-07-21 10:13:47,0.146s,PASSED
"click(findTestObject(""00-Signup and Activation/span_Sign up""))",Chrome 114.0.0.0,,,2023-07-21 10:13:47,2023-07-21 10:13:48,0.900s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 10:13:48,2023-07-21 10:13:51,3.036s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/div_Already have an account Log In""))",Chrome 114.0.0.0,,,2023-07-21 10:13:51,2023-07-21 10:13:51,0.368s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 10:13:51,2023-07-21 10:13:54,3.014s,PASSED
"verifyElementNotClickable(findTestObject(""00-Signup and Activation/button_Sign up""))",Chrome 114.0.0.0,,,2023-07-21 10:13:54,2023-07-21 10:13:54,0.310s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 10:13:54,2023-07-21 10:13:57,3.004s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/02-Signup(Wrong email),Chrome 114.0.0.0,,,2023-07-21 10:13:57,2023-07-21 10:14:12,14.514s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 10:13:58,2023-07-21 10:14:01,3.009s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), invalid_email)",Chrome 114.0.0.0,,,2023-07-21 10:14:01,2023-07-21 10:14:01,0.697s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:01,2023-07-21 10:14:03,2.007s,PASSED
"click(findTestObject(""00-Signup and Activation/input_firstName""))",Chrome 114.0.0.0,,,2023-07-21 10:14:03,2023-07-21 10:14:04,0.335s,PASSED
"verifyElementPresent(findTestObject(""00-Signup and Activation/error_valid email is required""), 0)",Chrome 114.0.0.0,,,2023-07-21 10:14:04,2023-07-21 10:14:04,0.549s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:04,2023-07-21 10:14:06,2.006s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), email_without_subscription)",Chrome 114.0.0.0,,,2023-07-21 10:14:06,2023-07-21 10:14:07,0.986s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:07,2023-07-21 10:14:09,2.007s,PASSED
"click(findTestObject(""00-Signup and Activation/input_firstName""))",Chrome 114.0.0.0,,,2023-07-21 10:14:09,2023-07-21 10:14:10,0.375s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/error_email already exists""))",Chrome 114.0.0.0,,,2023-07-21 10:14:10,2023-07-21 10:14:10,0.351s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:10,2023-07-21 10:14:12,2.011s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/03-Signup(Correct Details),Chrome 114.0.0.0,,,2023-07-21 10:14:12,2023-07-21 10:15:09,57.432s,FAILED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:12,2023-07-21 10:14:14,2.015s,PASSED
"domainName = ""@mailinator.com""",Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:14,0.001s,PASSED
random = new java.util.Random(),Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:14,0.014s,PASSED
randomString = Long.toHexString(random.nextLong()),Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:14,0.012s,PASSED
"emailAddress = ""autotestuser"" + randomString + domainName",Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:14,0.000s,PASSED
"logInfo(""Generated email address: "" + emailAddress)",Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:14,0.007s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), emailAddress)",Chrome 114.0.0.0,,,2023-07-21 10:14:14,2023-07-21 10:14:15,0.930s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_firstName""), first_name1)",Chrome 114.0.0.0,,,2023-07-21 10:14:15,2023-07-21 10:14:16,1.264s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_lastName""), last_name1)",Chrome 114.0.0.0,,,2023-07-21 10:14:16,2023-07-21 10:14:17,0.917s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:17,2023-07-21 10:14:19,2.014s,PASSED
"click(findTestObject(""Object Repository/00-Signup and Activation/button_Sign up""))",Chrome 114.0.0.0,,,2023-07-21 10:14:19,2023-07-21 10:14:20,0.377s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 10:14:20,2023-07-21 10:14:22,2.012s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 114.0.0.0,,,2023-07-21 10:14:22,2023-07-21 10:14:22,0.049s,PASSED
