Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02-Side Icons,Chrome 114.0.0.0,,,2023-07-21 12:14:47,2023-07-21 12:17:38,2m - 50.365s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/01- (Add Contact),Chrome 114.0.0.0,Navigates on Add Contact Page and verifies the elements.,,2023-07-21 12:14:48,2023-07-21 12:17:02,2m - 14.831s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-21 12:14:48,2023-07-21 12:14:50,1.825s,PASSED
navigateToUrl(app_url_login),Chrome 114.0.0.0,,,2023-07-21 12:14:50,2023-07-21 12:14:59,9.179s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-21 12:14:59,2023-07-21 12:16:02,1m - 2.828s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-21 12:16:02,2023-07-21 12:16:02,0.137s,PASSED
delay(25),Chrome 114.0.0.0,,,2023-07-21 12:16:02,2023-07-21 12:16:27,25.004s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Side Menu double arrow icon""))",Chrome 114.0.0.0,,,2023-07-21 12:16:27,2023-07-21 12:16:28,0.775s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:28,2023-07-21 12:16:30,2.004s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-21 12:16:30,2023-07-21 12:16:30,0.427s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:30,2023-07-21 12:16:32,2.007s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-21 12:16:32,2023-07-21 12:16:32,0.535s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:32,2023-07-21 12:16:34,2.005s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-21 12:16:34,2023-07-21 12:16:37,2.069s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:37,2023-07-21 12:16:40,3.006s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 114.0.0.0,,,2023-07-21 12:16:40,2023-07-21 12:16:40,0.629s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:40,2023-07-21 12:16:43,3.010s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/User Invitation modal""))",Chrome 114.0.0.0,,,2023-07-21 12:16:43,2023-07-21 12:16:44,0.388s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:44,2023-07-21 12:16:46,2.016s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite a single user option""))",Chrome 114.0.0.0,,,2023-07-21 12:16:46,2023-07-21 12:16:46,0.477s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite New user modal""))",Chrome 114.0.0.0,,,2023-07-21 12:16:46,2023-07-21 12:16:47,0.660s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:47,2023-07-21 12:16:49,2.010s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Cancel""))",Chrome 114.0.0.0,,,2023-07-21 12:16:49,2023-07-21 12:16:49,0.354s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:49,2023-07-21 12:16:51,2.003s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 114.0.0.0,,,2023-07-21 12:16:51,2023-07-21 12:16:52,0.385s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:52,2023-07-21 12:16:55,3.003s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/User Invitation modal""))",Chrome 114.0.0.0,,,2023-07-21 12:16:55,2023-07-21 12:16:55,0.335s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:55,2023-07-21 12:16:57,2.003s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite batch user option""))",Chrome 114.0.0.0,,,2023-07-21 12:16:57,2023-07-21 12:16:57,0.457s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/Import CSV file modal""))",Chrome 114.0.0.0,,,2023-07-21 12:16:57,2023-07-21 12:16:58,0.635s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:16:58,2023-07-21 12:17:00,2.010s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Cancel""))",Chrome 114.0.0.0,,,2023-07-21 12:17:00,2023-07-21 12:17:00,0.376s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:00,2023-07-21 12:17:02,2.016s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/02-(2FA),Chrome 114.0.0.0,Navigates on 2FA Page and verifies the elements.,,2023-07-21 12:17:02,2023-07-21 12:17:14,11.412s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:03,2023-07-21 12:17:06,3.014s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/2FA/button_2FA""))",Chrome 114.0.0.0,,,2023-07-21 12:17:06,2023-07-21 12:17:06,0.416s,PASSED
"clickOffset(findTestObject(""02-Side Icons(Organization)/2FA/span_Two Factor Authentication""), 100, 100)",Chrome 114.0.0.0,,,2023-07-21 12:17:06,2023-07-21 12:17:07,1.431s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:07,2023-07-21 12:17:10,3.011s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/2FA/span_Two Factor Authentication""))",Chrome 114.0.0.0,,,2023-07-21 12:17:10,2023-07-21 12:17:11,0.347s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:11,2023-07-21 12:17:14,3.007s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/03-(Client Assignment),Chrome 114.0.0.0,Navigates on Client Assignment Page and verifies the elements.,,2023-07-21 12:17:14,2023-07-21 12:17:25,10.798s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:14,2023-07-21 12:17:16,2.012s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Client Assignment/button_Client assignment""))",Chrome 114.0.0.0,,,2023-07-21 12:17:16,2023-07-21 12:17:16,0.466s,PASSED
"clickOffset(findTestObject(""02-Side Icons(Organization)/Client Assignment/h4_CLIENT ASSIGNMENT""), 50, 50)",Chrome 114.0.0.0,,,2023-07-21 12:17:16,2023-07-21 12:17:18,1.117s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:18,2023-07-21 12:17:21,3.006s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/h4_CLIENT ASSIGNMENT""))",Chrome 114.0.0.0,,,2023-07-21 12:17:21,2023-07-21 12:17:21,0.332s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/div_By Employee""))",Chrome 114.0.0.0,,,2023-07-21 12:17:21,2023-07-21 12:17:21,0.341s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Client Assignment/div_By Client""))",Chrome 114.0.0.0,,,2023-07-21 12:17:21,2023-07-21 12:17:22,0.342s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:22,2023-07-21 12:17:25,3.006s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/04-(Hide Quick Shortcuts),Chrome 114.0.0.0,Click Quick Shortcut and verify the buttons,,2023-07-21 12:17:25,2023-07-21 12:17:38,13.131s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:25,2023-07-21 12:17:27,2.002s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Hide Quick Shortcuts/button_hide quick shortcuts""))",Chrome 114.0.0.0,,,2023-07-21 12:17:27,2023-07-21 12:17:27,0.560s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:27,2023-07-21 12:17:30,3.005s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/2FA/button_2FA""), 0)",Chrome 114.0.0.0,,,2023-07-21 12:17:30,2023-07-21 12:17:31,0.431s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""), 0)",Chrome 114.0.0.0,,,2023-07-21 12:17:31,2023-07-21 12:17:31,0.342s,PASSED
"verifyElementNotPresent(findTestObject(""02-Side Icons(Organization)/Client Assignment/button_Client assignment""), 0)",Chrome 114.0.0.0,,,2023-07-21 12:17:31,2023-07-21 12:17:31,0.343s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 12:17:31,2023-07-21 12:17:34,3.012s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Hide Quick Shortcuts/button_Show quick shortcuts""))",Chrome 114.0.0.0,,,2023-07-21 12:17:34,2023-07-21 12:17:35,0.337s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/2FA/button_2FA""))",Chrome 114.0.0.0,,,2023-07-21 12:17:35,2023-07-21 12:17:35,0.559s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 114.0.0.0,,,2023-07-21 12:17:35,2023-07-21 12:17:36,0.319s,PASSED
