Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04-Add my Organizations,Chrome 114.0.0.0,,,2023-07-21 21:15:25,2023-07-21 21:17:14,1m - 48.478s,FAILED
,,,,,,,
Test Cases/04-Add my Organizations/01- Free limited Plan (Blank fields),Chrome 114.0.0.0,,,2023-07-21 21:15:26,2023-07-21 21:16:56,1m - 30.166s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-21 21:15:26,2023-07-21 21:15:28,2.001s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-21 21:15:28,2023-07-21 21:15:40,11.878s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-21 21:15:40,2023-07-21 21:15:40,0.129s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-21 21:15:40,2023-07-21 21:16:41,1m - 0.675s,PASSED
"click(findTestObject(""04-Add my Organizations/Free limited Plan/span_Add My Organization""))",Chrome 114.0.0.0,,,2023-07-21 21:16:41,2023-07-21 21:16:43,2.080s,PASSED
"verifyElementVisible(findTestObject(""04-Add my Organizations/Free limited Plan/Add my org modal""))",Chrome 114.0.0.0,,,2023-07-21 21:16:43,2023-07-21 21:16:45,2.335s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-21 21:16:45,2023-07-21 21:16:47,2.009s,PASSED
"click(findTestObject(""04-Add my Organizations/Free limited Plan/input_orgName""))",Chrome 114.0.0.0,,,2023-07-21 21:16:47,2023-07-21 21:16:47,0.334s,PASSED
"click(findTestObject(""04-Add my Organizations/Free limited Plan/input_org alias""))",Chrome 114.0.0.0,,,2023-07-21 21:16:47,2023-07-21 21:16:48,0.450s,PASSED
"click(findTestObject(""04-Add my Organizations/Free limited Plan/div_Service Industry_select-arrow""))",Chrome 114.0.0.0,,,2023-07-21 21:16:48,2023-07-21 21:16:48,0.563s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ESCAPE))",Chrome 114.0.0.0,,,2023-07-21 21:16:48,2023-07-21 21:16:49,0.457s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-21 21:16:49,2023-07-21 21:16:52,3.011s,PASSED
"verifyElementVisible(findTestObject(""04-Add my Organizations/Free limited Plan/div_OrganizationName_error""))",Chrome 114.0.0.0,,,2023-07-21 21:16:52,2023-07-21 21:16:52,0.333s,PASSED
