Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03-Header Menu,Chrome 114.0.0.0,,,2023-07-24 22:02:46,2023-07-24 22:19:36,16m - 50.204s,PASSED
,,,,,,,
Test Cases/03-Header Menu/01- Hamburger Button,Chrome 114.0.0.0,verifies all elements of the hamburger button,,2023-07-24 22:02:46,2023-07-24 22:07:01,4m - 15.568s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-24 22:02:46,2023-07-24 22:02:48,1.997s,PASSED
navigateToUrl(app_url_login),Chrome 114.0.0.0,,,2023-07-24 22:02:48,2023-07-24 22:05:51,3m - 2.559s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-24 22:05:51,2023-07-24 22:05:51,0.139s,PASSED
"setText(findTestObject(""02-Side Icons(Organization)/Add Contact/Email Field""), email_without_subscription)",Chrome 114.0.0.0,,,2023-07-24 22:05:51,2023-07-24 22:05:52,0.724s,PASSED
"setEncryptedText(findTestObject(""02-Side Icons(Organization)/Add Contact/Password Field""), password)",Chrome 114.0.0.0,,,2023-07-24 22:05:52,2023-07-24 22:05:52,0.508s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-24 22:05:52,2023-07-24 22:05:53,0.722s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-24 22:05:53,2023-07-24 22:05:55,2.020s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 114.0.0.0,,,2023-07-24 22:05:55,2023-07-24 22:05:55,0.046s,PASSED
currentWindow = getWindowIndex(),Chrome 114.0.0.0,,,2023-07-24 22:05:55,2023-07-24 22:05:55,0.018s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-24 22:05:55,2023-07-24 22:05:58,3.008s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 114.0.0.0,,,2023-07-24 22:05:58,2023-07-24 22:05:58,0.017s,PASSED
navigateToUrl(app_mailinator),Chrome 114.0.0.0,,,2023-07-24 22:05:58,2023-07-24 22:06:07,8.686s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-24 22:06:07,2023-07-24 22:06:10,3.005s,PASSED
"setText(findTestObject(""00-Signup and Activation/zMailinator/input_LOGIN_search""), email_for_searchmailinator_testuser01)",Chrome 114.0.0.0,,,2023-07-24 22:06:10,2023-07-24 22:06:10,0.699s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/gobutton""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-24 22:06:10,2023-07-24 22:06:11,0.703s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-24 22:06:11,2023-07-24 22:06:14,3.010s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/Email - everleagues""))",Chrome 114.0.0.0,,,2023-07-24 22:06:14,2023-07-24 22:06:14,0.413s,PASSED
