Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
07-Directory,Chrome 114.0.0.0,,,2023-07-25 14:27:43,2023-07-25 14:33:29,5m - 46.884s,PASSED
,,,,,,,
Test Cases/07-Directory/01 -Connections - Add New Contact (required field is blank),Chrome 114.0.0.0,,,2023-07-25 14:27:43,2023-07-25 14:30:03,2m - 20.788s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-25 14:27:43,2023-07-25 14:27:45,1.844s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-25 14:27:45,2023-07-25 14:28:21,36.020s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-25 14:28:21,2023-07-25 14:28:21,0.142s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-25 14:28:21,2023-07-25 14:29:26,1m - 5.148s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Directory""))",Chrome 114.0.0.0,,,2023-07-25 14:29:26,2023-07-25 14:29:31,4.560s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:31,2023-07-25 14:29:34,3.012s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 114.0.0.0,,,2023-07-25 14:29:34,2023-07-25 14:29:34,0.365s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Labels""))",Chrome 114.0.0.0,,,2023-07-25 14:29:34,2023-07-25 14:29:34,0.377s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:34,2023-07-25 14:29:38,3.015s,PASSED
"click(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 114.0.0.0,,,2023-07-25 14:29:38,2023-07-25 14:29:38,0.448s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:38,2023-07-25 14:29:41,3.015s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h4_CONNECTIONS""))",Chrome 114.0.0.0,,,2023-07-25 14:29:41,2023-07-25 14:29:41,0.375s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h5_Save your contacts here and throw your business cards away""))",Chrome 114.0.0.0,,,2023-07-25 14:29:41,2023-07-25 14:29:42,0.455s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_search""))",Chrome 114.0.0.0,,,2023-07-25 14:29:42,2023-07-25 14:29:42,0.392s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_add new contact""))",Chrome 114.0.0.0,,,2023-07-25 14:29:42,2023-07-25 14:29:43,0.572s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_Filter""))",Chrome 114.0.0.0,,,2023-07-25 14:29:43,2023-07-25 14:29:43,0.682s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:43,2023-07-25 14:29:46,3.013s,PASSED
"click(findTestObject(""07-Directory/Connections/button_add new contact""))",Chrome 114.0.0.0,,,2023-07-25 14:29:46,2023-07-25 14:29:47,0.566s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:47,2023-07-25 14:29:50,3.011s,PASSED
"click(findTestObject(""07-Directory/Connections/input_Type_email""))",Chrome 114.0.0.0,,,2023-07-25 14:29:50,2023-07-25 14:29:50,0.372s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/Add new contact modal""))",Chrome 114.0.0.0,,,2023-07-25 14:29:50,2023-07-25 14:29:51,0.578s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:51,2023-07-25 14:29:54,3.016s,PASSED
"click(findTestObject(""07-Directory/Connections/input_firstName""))",Chrome 114.0.0.0,,,2023-07-25 14:29:54,2023-07-25 14:29:54,0.442s,PASSED
"click(findTestObject(""07-Directory/Connections/input_lastName""))",Chrome 114.0.0.0,,,2023-07-25 14:29:54,2023-07-25 14:29:55,0.562s,PASSED
"click(findTestObject(""07-Directory/Connections/input_Type_email""))",Chrome 114.0.0.0,,,2023-07-25 14:29:55,2023-07-25 14:29:55,0.469s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:29:55,2023-07-25 14:29:58,3.007s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_First Name Field is required""))",Chrome 114.0.0.0,,,2023-07-25 14:29:58,2023-07-25 14:30:00,1.164s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Last Name Field is required""))",Chrome 114.0.0.0,,,2023-07-25 14:30:00,2023-07-25 14:30:00,0.380s,PASSED
"verifyElementNotClickable(findTestObject(""07-Directory/Connections/button_Create""))",Chrome 114.0.0.0,,,2023-07-25 14:30:00,2023-07-25 14:30:00,0.441s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:30:00,2023-07-25 14:30:03,3.011s,PASSED
,,,,,,,
Test Cases/07-Directory/02 -Connections - Add New Contact (Fill out required field),Chrome 114.0.0.0,,,2023-07-25 14:30:03,2023-07-25 14:30:11,7.475s,PASSED
"setText(findTestObject(""07-Directory/Connections/input_firstName""), first_name1)",Chrome 114.0.0.0,,,2023-07-25 14:30:04,2023-07-25 14:30:05,0.985s,PASSED
"setText(findTestObject(""07-Directory/Connections/input_lastName""), last_name2)",Chrome 114.0.0.0,,,2023-07-25 14:30:05,2023-07-25 14:30:06,0.844s,PASSED
"setText(findTestObject(""07-Directory/Connections/input_Type_email""), email_for_Auto2)",Chrome 114.0.0.0,,,2023-07-25 14:30:06,2023-07-25 14:30:06,0.936s,PASSED
"click(findTestObject(""07-Directory/Connections/input_Type_phone""))",Chrome 114.0.0.0,,,2023-07-25 14:30:06,2023-07-25 14:30:07,0.467s,PASSED
"click(findTestObject(""07-Directory/Connections/button_area code""))",Chrome 114.0.0.0,,,2023-07-25 14:30:07,2023-07-25 14:30:08,1.034s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-25 14:30:08,2023-07-25 14:30:11,3.011s,PASSED
,,,,,,,
Test Cases/07-Directory/03 -Connections - Add New Contact (add phone number),Chrome 114.0.0.0,,,2023-07-25 14:30:11,2023-07-25 14:30:19,8.189s,PASSED
