Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.4 - Settings (Organization unit),Chrome 114.0.0.0,,,2023-07-26 17:14:17,2023-07-26 17:21:09,6m - 52.227s,PASSED
,,,,,,,
Test Cases/09-Settings/19 - Organization unit - Add Organization unit,Chrome 114.0.0.0,,,2023-07-26 17:14:17,2023-07-26 17:19:01,4m - 44.409s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-26 17:14:17,2023-07-26 17:14:19,1.834s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-26 17:14:19,2023-07-26 17:17:09,2m - 49.784s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 17:17:09,2023-07-26 17:17:09,0.135s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-26 17:17:09,2023-07-26 17:18:09,1m - 0.471s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-07-26 17:18:09,2023-07-26 17:18:12,2.258s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-26 17:18:12,2023-07-26 17:18:12,0.889s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 114.0.0.0,,,2023-07-26 17:18:12,2023-07-26 17:18:13,1.000s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:13,2023-07-26 17:18:16,3.015s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 114.0.0.0,,,2023-07-26 17:18:16,2023-07-26 17:18:17,0.366s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:17,2023-07-26 17:18:21,4.046s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 114.0.0.0,,,2023-07-26 17:18:21,2023-07-26 17:18:21,0.401s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:21,2023-07-26 17:18:24,3.010s,PASSED
"scrollToElement(findTestObject(""09-Settings/Users/div_Organization Units""), 0)",Chrome 114.0.0.0,,,2023-07-26 17:18:24,2023-07-26 17:18:25,0.341s,PASSED
"click(findTestObject(""09-Settings/Users/div_Organization Units""))",Chrome 114.0.0.0,,,2023-07-26 17:18:25,2023-07-26 17:18:25,0.413s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization unit/h4_ORGANIZATION STRUCTURE SETUP""))",Chrome 114.0.0.0,,,2023-07-26 17:18:25,2023-07-26 17:18:26,0.889s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:26,2023-07-26 17:18:29,3.015s,PASSED
"click(findTestObject(""09-Settings/Organization unit/button_add""))",Chrome 114.0.0.0,,,2023-07-26 17:18:29,2023-07-26 17:18:29,0.486s,PASSED
"verifyElementPresent(findTestObject(""09-Settings/Organization unit/mat-dialog-container_Add organization unit modal""), 0)",Chrome 114.0.0.0,,,2023-07-26 17:18:29,2023-07-26 17:18:30,0.875s,PASSED
"verifyElementPresent(findTestObject(""09-Settings/Organization unit/h4_Name""), 0)",Chrome 114.0.0.0,,,2023-07-26 17:18:30,2023-07-26 17:18:31,0.341s,PASSED
"click(findTestObject(""09-Settings/Organization unit/mat-icon_create""))",Chrome 114.0.0.0,,,2023-07-26 17:18:31,2023-07-26 17:18:31,0.451s,PASSED
"verifyElementPresent(findTestObject(""09-Settings/Organization unit/mat-dialog-container_Select an organization unit modal""), 0)",Chrome 114.0.0.0,,,2023-07-26 17:18:31,2023-07-26 17:18:32,0.533s,PASSED
"verifyElementPresent(findTestObject(""09-Settings/Organization unit/h4_Select an organization unit""), 0)",Chrome 114.0.0.0,,,2023-07-26 17:18:32,2023-07-26 17:18:32,0.357s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:32,2023-07-26 17:18:35,3.009s,PASSED
"click(findTestObject(""09-Settings/Organization unit/Cancel button for select an organization unit""))",Chrome 114.0.0.0,,,2023-07-26 17:18:35,2023-07-26 17:18:35,0.442s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 17:18:35,2023-07-26 17:18:38,3.009s,PASSED
"click(findTestObject(""09-Settings/Organization unit/input_Parent Organization Unit Name_orgName""))",Chrome 114.0.0.0,,,2023-07-26 17:18:38,2023-07-26 17:18:39,0.388s,PASSED
"click(findTestObject(""09-Settings/Organization unit/mat-dialog-container_Add organization unit modal""))",Chrome 114.0.0.0,,,2023-07-26 17:18:39,2023-07-26 17:18:39,0.363s,PASSED
