Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.5 - Settings (Organization),Chrome 114.0.0.0,,,2023-07-26 18:26:15,2023-07-26 18:33:14,6m - 58.933s,FAILED
,,,,,,,
Test Cases/09-Settings/23 - Organization - Profile Settings,Chrome 114.0.0.0,,,2023-07-26 18:26:15,2023-07-26 18:32:01,5m - 45.534s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-26 18:26:15,2023-07-26 18:26:17,2.027s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-26 18:26:17,2023-07-26 18:29:30,3m - 12.500s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 18:29:30,2023-07-26 18:29:30,0.136s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-26 18:29:30,2023-07-26 18:30:29,58.702s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-07-26 18:30:29,2023-07-26 18:30:32,3.099s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-26 18:30:32,2023-07-26 18:30:32,0.460s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 114.0.0.0,,,2023-07-26 18:30:32,2023-07-26 18:30:33,0.872s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:33,2023-07-26 18:30:37,4.006s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 114.0.0.0,,,2023-07-26 18:30:37,2023-07-26 18:30:38,0.411s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:38,2023-07-26 18:30:41,3.014s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 114.0.0.0,,,2023-07-26 18:30:41,2023-07-26 18:30:41,0.401s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:41,2023-07-26 18:30:44,3.010s,PASSED
"click(findTestObject(""09-Settings/Users/div_Organization""))",Chrome 114.0.0.0,,,2023-07-26 18:30:44,2023-07-26 18:30:45,0.704s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/h4_ORGANIZATION SETTINGS""))",Chrome 114.0.0.0,,,2023-07-26 18:30:45,2023-07-26 18:30:46,0.902s,PASSED
"click(findTestObject(""09-Settings/Organization/div_Profile""))",Chrome 114.0.0.0,,,2023-07-26 18:30:46,2023-07-26 18:30:46,0.336s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/div_ProfileSettings page""))",Chrome 114.0.0.0,,,2023-07-26 18:30:46,2023-07-26 18:30:47,0.957s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:47,2023-07-26 18:30:50,3.012s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/mat-card-title_Profile""))",Chrome 114.0.0.0,,,2023-07-26 18:30:50,2023-07-26 18:30:50,0.322s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/input_Industry""))",Chrome 114.0.0.0,,,2023-07-26 18:30:50,2023-07-26 18:30:51,0.354s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/input_Organization number""))",Chrome 114.0.0.0,,,2023-07-26 18:30:51,2023-07-26 18:30:51,0.338s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:51,2023-07-26 18:30:54,3.016s,PASSED
"click(findTestObject(""03-Header Menu/User Profile/View Profile/Profile Tab/Upload Icon""))",Chrome 114.0.0.0,,,2023-07-26 18:30:54,2023-07-26 18:30:54,0.504s,PASSED
delay(delay_2seconds),Chrome 114.0.0.0,,,2023-07-26 18:30:54,2023-07-26 18:30:56,2.006s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Organization/Upload Org image""))",Chrome 114.0.0.0,,,2023-07-26 18:30:56,2023-07-26 18:30:57,0.346s,PASSED
