Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06.2 - Teams - Settings,Chrome 114.0.0.0,Need to add a connection either autotester01@mailinator.com or autotester02@mailinator.com before running this Test suite,,2023-07-27 02:17:13,2023-07-27 02:34:54,17m - 40.739s,PASSED
,,,,,,,
Test Cases/06- Teams/03-Edit Team - Private (adding member),Chrome 114.0.0.0,Need to add this autotester01@mailinator.com as a COWORKER under connection before running this TC,,2023-07-27 02:17:14,2023-07-27 02:21:24,4m - 10.153s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-27 02:17:14,2023-07-27 02:17:16,1.821s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-27 02:17:16,2023-07-27 02:20:08,2m - 52.456s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-27 02:20:08,2023-07-27 02:20:08,0.144s,PASSED
"setText(findTestObject(""02-Side Icons(Organization)/Add Contact/Email Field""), email_with_subscription)",Chrome 114.0.0.0,,,2023-07-27 02:20:08,2023-07-27 02:20:09,0.820s,PASSED
"setEncryptedText(findTestObject(""02-Side Icons(Organization)/Add Contact/Password Field""), password)",Chrome 114.0.0.0,,,2023-07-27 02:20:09,2023-07-27 02:20:10,0.507s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-27 02:20:10,2023-07-27 02:20:10,0.680s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-27 02:20:10,2023-07-27 02:20:13,3.030s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 114.0.0.0,,,2023-07-27 02:20:13,2023-07-27 02:20:13,0.047s,PASSED
currentWindow = getWindowIndex(),Chrome 114.0.0.0,,,2023-07-27 02:20:13,2023-07-27 02:20:13,0.018s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-27 02:20:13,2023-07-27 02:20:16,3.015s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 114.0.0.0,,,2023-07-27 02:20:16,2023-07-27 02:20:17,0.049s,PASSED
navigateToUrl(app_mailinator),Chrome 114.0.0.0,,,2023-07-27 02:20:17,2023-07-27 02:20:23,6.487s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-27 02:20:23,2023-07-27 02:20:26,3.016s,PASSED
