Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11.2 - Cloud Files(Shared Drive),Chrome 114.0.0.0,,,2023-07-28 01:40:53,2023-07-28 01:47:11,6m - 17.894s,PASSED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/01-Create new driver(required field is blank),Chrome 114.0.0.0,,,2023-07-28 01:40:53,2023-07-28 01:45:23,4m - 30.007s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-28 01:40:53,2023-07-28 01:40:56,2.459s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-28 01:40:56,2023-07-28 01:43:54,2m - 58.298s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-28 01:43:54,2023-07-28 01:43:54,0.141s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-28 01:43:54,2023-07-28 01:44:55,1m - 0.544s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-07-28 01:44:55,2023-07-28 01:44:58,3.450s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-28 01:44:58,2023-07-28 01:44:59,1.006s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-28 01:44:59,2023-07-28 01:45:00,1.179s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-07-28 01:45:00,2023-07-28 01:45:04,4.009s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 114.0.0.0,,,2023-07-28 01:45:04,2023-07-28 01:45:04,0.318s,PASSED
delay(delay_5seconds),Chrome 114.0.0.0,,,2023-07-28 01:45:04,2023-07-28 01:45:10,5.012s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Cloud Files""))",Chrome 114.0.0.0,,,2023-07-28 01:45:10,2023-07-28 01:45:10,0.424s,PASSED
"scrollToElement(findTestObject(""11-Cloud Files/a_Shared Drive""), 0)",Chrome 114.0.0.0,,,2023-07-28 01:45:10,2023-07-28 01:45:11,0.902s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_My Drive""))",Chrome 114.0.0.0,,,2023-07-28 01:45:11,2023-07-28 01:45:11,0.362s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 114.0.0.0,,,2023-07-28 01:45:11,2023-07-28 01:45:12,0.312s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared With Me""))",Chrome 114.0.0.0,,,2023-07-28 01:45:12,2023-07-28 01:45:12,0.311s,PASSED
"click(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 114.0.0.0,,,2023-07-28 01:45:12,2023-07-28 01:45:12,0.336s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_CLOUD STORAGE""))",Chrome 114.0.0.0,,,2023-07-28 01:45:12,2023-07-28 01:45:13,1.294s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_Shared_Drive""))",Chrome 114.0.0.0,,,2023-07-28 01:45:13,2023-07-28 01:45:14,0.321s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 01:45:14,2023-07-28 01:45:17,3.008s,PASSED
