Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
08- Operations,Chrome 114.0.0.0,,,2023-07-28 18:42:27,2023-07-28 18:48:38,6m - 11.157s,PASSED
,,,,,,,
Test Cases/08- Operations/01 - Client Assignment - Select Org unit,Chrome 114.0.0.0,Need to add this autotester03@mailinator.com as a CLIENT under connection before running this TC,,2023-07-28 18:42:27,2023-07-28 18:46:37,4m - 10.082s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-28 18:42:27,2023-07-28 18:42:29,2.024s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-28 18:42:29,2023-07-28 18:45:21,2m - 51.199s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-28 18:45:21,2023-07-28 18:45:21,0.141s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-28 18:45:21,2023-07-28 18:46:24,1m - 3.542s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Operation""))",Chrome 114.0.0.0,,,2023-07-28 18:46:24,2023-07-28 18:46:27,2.574s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client_Assignment""))",Chrome 114.0.0.0,,,2023-07-28 18:46:27,2023-07-28 18:46:28,0.888s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private_Circle""))",Chrome 114.0.0.0,,,2023-07-28 18:46:28,2023-07-28 18:46:28,0.409s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:28,2023-07-28 18:46:31,3.004s,PASSED
"click(findTestObject(""08-Operations/Client_Assignment""))",Chrome 114.0.0.0,,,2023-07-28 18:46:31,2023-07-28 18:46:32,0.495s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Client Assignment Page 2""))",Chrome 114.0.0.0,,,2023-07-28 18:46:32,2023-07-28 18:46:33,1.179s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:33,2023-07-28 18:46:36,3.010s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/Org unit edit""))",Chrome 114.0.0.0,,,2023-07-28 18:46:36,2023-07-28 18:46:36,0.502s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Select org unit modal""))",Chrome 114.0.0.0,,,2023-07-28 18:46:36,2023-07-28 18:46:37,0.467s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/button_Select_org unit select""))",Chrome 114.0.0.0,,,2023-07-28 18:46:37,2023-07-28 18:46:37,0.421s,PASSED
,,,,,,,
Test Cases/08- Operations/02 - Client Assignment by Employee,Chrome 114.0.0.0,,,2023-07-28 18:46:37,2023-07-28 18:47:05,28.135s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:38,2023-07-28 18:46:41,3.013s,PASSED
"verifyElementNotClickable(findTestObject(""08-Operations/Client Assignment/button_ Assign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:41,2023-07-28 18:46:41,0.364s,PASSED
"verifyElementNotClickable(findTestObject(""08-Operations/Client Assignment/button_Unassign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:41,2023-07-28 18:46:41,0.329s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:41,2023-07-28 18:46:44,3.011s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GG TESTER""))",Chrome 114.0.0.0,,,2023-07-28 18:46:44,2023-07-28 18:46:45,0.427s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Clients column""))",Chrome 114.0.0.0,,,2023-07-28 18:46:45,2023-07-28 18:46:46,0.893s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned Clients empty""))",Chrome 114.0.0.0,,,2023-07-28 18:46:46,2023-07-28 18:46:46,0.363s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:46,2023-07-28 18:46:49,3.008s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GTGG Tester 3""))",Chrome 114.0.0.0,,,2023-07-28 18:46:49,2023-07-28 18:46:49,0.459s,PASSED
"verifyElementClickable(findTestObject(""08-Operations/Client Assignment/button_ Assign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:49,2023-07-28 18:46:50,0.888s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/button_ Assign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:50,2023-07-28 18:46:51,0.399s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/snack-bar-container_Updated assignmentOK""))",Chrome 114.0.0.0,,,2023-07-28 18:46:51,2023-07-28 18:46:52,1.200s,PASSED
delay(delay_1second),Chrome 114.0.0.0,,,2023-07-28 18:46:52,2023-07-28 18:46:53,1.005s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Client column Empty""))",Chrome 114.0.0.0,,,2023-07-28 18:46:53,2023-07-28 18:46:54,0.644s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned clients column""))",Chrome 114.0.0.0,,,2023-07-28 18:46:54,2023-07-28 18:46:54,0.408s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:46:54,2023-07-28 18:46:57,3.014s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GTGG Tester 3""))",Chrome 114.0.0.0,,,2023-07-28 18:46:57,2023-07-28 18:46:57,0.400s,PASSED
"verifyElementClickable(findTestObject(""08-Operations/Client Assignment/button_Unassign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:57,2023-07-28 18:46:58,0.833s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/button_Unassign""))",Chrome 114.0.0.0,,,2023-07-28 18:46:58,2023-07-28 18:46:59,0.331s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/snack-bar-container_Updated assignmentOK""))",Chrome 114.0.0.0,,,2023-07-28 18:46:59,2023-07-28 18:47:00,1.203s,PASSED
delay(delay_5seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:00,2023-07-28 18:47:05,5.010s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Clients column""))",Chrome 114.0.0.0,,,2023-07-28 18:47:05,2023-07-28 18:47:05,0.334s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned Clients empty""))",Chrome 114.0.0.0,,,2023-07-28 18:47:05,2023-07-28 18:47:05,0.363s,PASSED
,,,,,,,
Test Cases/08- Operations/03 - Client Assignment by Client,Chrome 114.0.0.0,,,2023-07-28 18:47:05,2023-07-28 18:47:37,31.078s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:06,2023-07-28 18:47:09,3.004s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_By Client""))",Chrome 114.0.0.0,,,2023-07-28 18:47:09,2023-07-28 18:47:09,0.386s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/By Client modal""))",Chrome 114.0.0.0,,,2023-07-28 18:47:09,2023-07-28 18:47:10,0.943s,PASSED
"verifyElementNotClickable(findTestObject(""08-Operations/Client Assignment/button_ Assign""))",Chrome 114.0.0.0,,,2023-07-28 18:47:10,2023-07-28 18:47:10,0.343s,PASSED
"verifyElementNotClickable(findTestObject(""08-Operations/Client Assignment/button_Unassign""))",Chrome 114.0.0.0,,,2023-07-28 18:47:10,2023-07-28 18:47:11,0.318s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:11,2023-07-28 18:47:14,3.013s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GTGG Tester 3""))",Chrome 114.0.0.0,,,2023-07-28 18:47:14,2023-07-28 18:47:14,0.354s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Employees column 2""))",Chrome 114.0.0.0,,,2023-07-28 18:47:14,2023-07-28 18:47:15,1.010s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned Employees empty""))",Chrome 114.0.0.0,,,2023-07-28 18:47:15,2023-07-28 18:47:15,0.348s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:15,2023-07-28 18:47:18,3.017s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GG TESTER""))",Chrome 114.0.0.0,,,2023-07-28 18:47:18,2023-07-28 18:47:19,0.344s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/button_ Assign""))",Chrome 114.0.0.0,,,2023-07-28 18:47:19,2023-07-28 18:47:20,0.922s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Page_Everleagues/span_Updated assignment""))",Chrome 114.0.0.0,,,2023-07-28 18:47:20,2023-07-28 18:47:21,1.044s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:21,2023-07-28 18:47:24,3.011s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Employees column after assign""))",Chrome 114.0.0.0,,,2023-07-28 18:47:24,2023-07-28 18:47:24,0.353s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned Employees - GG TESTER""))",Chrome 114.0.0.0,,,2023-07-28 18:47:24,2023-07-28 18:47:24,0.378s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:24,2023-07-28 18:47:27,3.006s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/div_GG TESTER""))",Chrome 114.0.0.0,,,2023-07-28 18:47:27,2023-07-28 18:47:28,0.346s,PASSED
"click(findTestObject(""08-Operations/Client Assignment/button_Unassign""))",Chrome 114.0.0.0,,,2023-07-28 18:47:28,2023-07-28 18:47:29,0.887s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Page_Everleagues/span_Updated assignment""))",Chrome 114.0.0.0,,,2023-07-28 18:47:29,2023-07-28 18:47:30,1.044s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:30,2023-07-28 18:47:33,3.013s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Employees column""))",Chrome 114.0.0.0,,,2023-07-28 18:47:33,2023-07-28 18:47:33,0.381s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Client Assignment/Assigned Employees empty""))",Chrome 114.0.0.0,,,2023-07-28 18:47:33,2023-07-28 18:47:34,0.422s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:34,2023-07-28 18:47:37,3.007s,PASSED
,,,,,,,
Test Cases/08- Operations/04- Private Circle (Selecting a User),Chrome 114.0.0.0,,,2023-07-28 18:47:37,2023-07-28 18:47:46,9.500s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:37,2023-07-28 18:47:40,3.015s,PASSED
"click(findTestObject(""08-Operations/Private_Circle""))",Chrome 114.0.0.0,,,2023-07-28 18:47:40,2023-07-28 18:47:40,0.499s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/Private Circle page""))",Chrome 114.0.0.0,,,2023-07-28 18:47:40,2023-07-28 18:47:41,0.942s,PASSED
"click(findTestObject(""08-Operations/Private Circle/Input_Select user""))",Chrome 114.0.0.0,,,2023-07-28 18:47:41,2023-07-28 18:47:42,0.405s,PASSED
"click(findTestObject(""08-Operations/Private Circle/span_GG Tester 3""))",Chrome 114.0.0.0,,,2023-07-28 18:47:42,2023-07-28 18:47:42,0.667s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/div_Showing GG Tester 3s private circle""))",Chrome 114.0.0.0,,,2023-07-28 18:47:42,2023-07-28 18:47:43,0.772s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:43,2023-07-28 18:47:46,3.010s,PASSED
,,,,,,,
Test Cases/08- Operations/05 - Adding private circle but with blank fields,Chrome 114.0.0.0,,,2023-07-28 18:47:46,2023-07-28 18:47:54,8.247s,PASSED
"click(findTestObject(""08-Operations/Private Circle/button_add""))",Chrome 114.0.0.0,,,2023-07-28 18:47:46,2023-07-28 18:47:47,0.397s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/Add New Circle modal""))",Chrome 114.0.0.0,,,2023-07-28 18:47:47,2023-07-28 18:47:48,0.931s,PASSED
"verifyElementNotClickable(findTestObject(""08-Operations/Private Circle/button_Add modal""))",Chrome 114.0.0.0,,,2023-07-28 18:47:48,2023-07-28 18:47:48,0.310s,PASSED
"click(findTestObject(""08-Operations/Private Circle/Select User dropdown""))",Chrome 114.0.0.0,,,2023-07-28 18:47:48,2023-07-28 18:47:48,0.385s,PASSED
"clickOffset(findTestObject(""08-Operations/Private Circle/h4_Add New Circle Association""), 100, 100)",Chrome 114.0.0.0,,,2023-07-28 18:47:48,2023-07-28 18:47:49,0.596s,PASSED
"click(findTestObject(""08-Operations/Private Circle/Relationship dropdown""))",Chrome 114.0.0.0,,,2023-07-28 18:47:49,2023-07-28 18:47:50,0.736s,PASSED
"clickOffset(findTestObject(""08-Operations/Private Circle/h4_Add New Circle Association""), 100, 100)",Chrome 114.0.0.0,,,2023-07-28 18:47:50,2023-07-28 18:47:50,0.681s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/Select User Field is required""))",Chrome 114.0.0.0,,,2023-07-28 18:47:50,2023-07-28 18:47:51,0.700s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/Relationship is required""))",Chrome 114.0.0.0,,,2023-07-28 18:47:51,2023-07-28 18:47:51,0.335s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:51,2023-07-28 18:47:54,3.004s,PASSED
,,,,,,,
Test Cases/08- Operations/06 - Adding a Private Circle Successfully,Chrome 114.0.0.0,,,2023-07-28 18:47:54,2023-07-28 18:48:26,31.388s,PASSED
"click(findTestObject(""08-Operations/Private Circle/Select User Field is required""))",Chrome 114.0.0.0,,,2023-07-28 18:47:55,2023-07-28 18:47:55,0.340s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_New Contact""))",Chrome 114.0.0.0,,,2023-07-28 18:47:55,2023-07-28 18:47:55,0.440s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_GG TESTER""))",Chrome 114.0.0.0,,,2023-07-28 18:47:55,2023-07-28 18:47:56,0.377s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_GG tester 2""))",Chrome 114.0.0.0,,,2023-07-28 18:47:56,2023-07-28 18:47:56,0.306s,PASSED
"click(findTestObject(""08-Operations/Private Circle/mat-option_New Contact""))",Chrome 114.0.0.0,,,2023-07-28 18:47:56,2023-07-28 18:47:56,0.350s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/Add New Contact modal""))",Chrome 114.0.0.0,,,2023-07-28 18:47:56,2023-07-28 18:47:57,0.665s,PASSED
"setText(findTestObject(""08-Operations/Private Circle/input_firstName""), ""GG Auto"")",Chrome 114.0.0.0,,,2023-07-28 18:47:57,2023-07-28 18:47:58,0.717s,PASSED
"setText(findTestObject(""08-Operations/Private Circle/input_lastName""), ""Contact"")",Chrome 114.0.0.0,,,2023-07-28 18:47:58,2023-07-28 18:47:59,0.827s,PASSED
"click(findTestObject(""08-Operations/Private Circle/button_Create""))",Chrome 114.0.0.0,,,2023-07-28 18:47:59,2023-07-28 18:47:59,0.453s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-28 18:47:59,2023-07-28 18:48:02,3.015s,PASSED
"click(findTestObject(""08-Operations/Private Circle/Relationship dropdown""))",Chrome 114.0.0.0,,,2023-07-28 18:48:02,2023-07-28 18:48:02,0.370s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_Spouse""))",Chrome 114.0.0.0,,,2023-07-28 18:48:02,2023-07-28 18:48:03,0.535s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_Child""))",Chrome 114.0.0.0,,,2023-07-28 18:48:03,2023-07-28 18:48:04,0.694s,PASSED
"verifyElementVisible(findTestObject(""08-Operations/Private Circle/mat-option_Friend""))",Chrome 114.0.0.0,,,2023-07-28 18:48:04,2023-07-28 18:48:04,0.331s,PASSED
