Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.2 - Settings (Active user),Chrome 114.0.0.0,,,2023-07-28 19:12:12,2023-07-28 19:20:13,8m - 1.422s,PASSED
,,,,,,,
Test Cases/09-Settings/06 - Users (Active User - Search user),Chrome 114.0.0.0,,,2023-07-28 19:12:12,2023-07-28 19:16:31,4m - 18.315s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-28 19:12:12,2023-07-28 19:12:14,1.864s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-28 19:12:14,2023-07-28 19:14:52,2m - 38.153s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-28 19:14:52,2023-07-28 19:14:53,0.133s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-28 19:14:53,2023-07-28 19:15:54,1m - 1.559s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-07-28 19:15:54,2023-07-28 19:15:57,2.464s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-28 19:15:57,2023-07-28 19:15:58,0.957s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 114.0.0.0,,,2023-07-28 19:15:58,2023-07-28 19:15:59,0.925s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-07-28 19:15:59,2023-07-28 19:16:03,4.007s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 114.0.0.0,,,2023-07-28 19:16:03,2023-07-28 19:16:03,0.363s,PASSED
delay(delay_5seconds),Chrome 114.0.0.0,,,2023-07-28 19:16:03,2023-07-28 19:16:08,5.017s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 114.0.0.0,,,2023-07-28 19:16:08,2023-07-28 19:16:08,0.361s,PASSED
