Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06.1- Teams - Add,Chrome 115.0.0.0,,,2023-07-31 15:53:41,2023-07-31 15:56:28,2m - 46.650s,PASSED
,,,,,,,
Test Cases/06- Teams/01- Add Team- Public,Chrome 115.0.0.0,,,2023-07-31 15:53:41,2023-07-31 15:55:46,2m - 5.324s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 15:53:41,2023-07-31 15:53:43,1.860s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-07-31 15:53:43,2023-07-31 15:53:53,10.164s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 15:53:53,2023-07-31 15:53:54,0.132s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 15:53:54,2023-07-31 15:55:01,1m - 7.278s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-07-31 15:55:01,2023-07-31 15:55:03,1.825s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-07-31 15:55:03,2023-07-31 15:55:04,0.987s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 115.0.0.0,,,2023-07-31 15:55:04,2023-07-31 15:55:04,0.507s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-07-31 15:55:04,2023-07-31 15:55:08,4.011s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 115.0.0.0,,,2023-07-31 15:55:08,2023-07-31 15:55:09,0.381s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-07-31 15:55:09,2023-07-31 15:55:11,2.005s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Teams""))",Chrome 115.0.0.0,,,2023-07-31 15:55:11,2023-07-31 15:55:11,0.469s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-07-31 15:55:11,2023-07-31 15:55:13,2.014s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/h4_TEAMS""))",Chrome 115.0.0.0,,,2023-07-31 15:55:13,2023-07-31 15:55:13,0.458s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 15:55:13,2023-07-31 15:55:16,3.008s,PASSED
