Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11.1 - Cloud Files(My Drive),Chrome 115.0.0.0,,,2023-07-31 17:46:00,2023-07-31 17:54:37,8m - 37.024s,FAILED
,,,,,,,
Test Cases/11.1 - Cloud Files (My Drive)/01-Create new folder(required field is blank),Chrome 115.0.0.0,,,2023-07-31 17:46:00,2023-07-31 17:47:49,1m - 49.273s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 17:46:00,2023-07-31 17:46:02,1.864s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-07-31 17:46:02,2023-07-31 17:46:15,13.225s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 17:46:15,2023-07-31 17:46:16,0.133s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 17:46:16,2023-07-31 17:47:19,1m - 3.594s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-07-31 17:47:19,2023-07-31 17:47:21,1.742s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-07-31 17:47:21,2023-07-31 17:47:21,0.459s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-07-31 17:47:21,2023-07-31 17:47:23,1.192s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:23,2023-07-31 17:47:27,4.005s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-07-31 17:47:27,2023-07-31 17:47:30,3.453s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:30,2023-07-31 17:47:35,5.019s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Cloud Files""))",Chrome 115.0.0.0,,,2023-07-31 17:47:35,2023-07-31 17:47:35,0.428s,PASSED
"scrollToElement(findTestObject(""11-Cloud Files/a_My Drive""), 0)",Chrome 115.0.0.0,,,2023-07-31 17:47:35,2023-07-31 17:47:36,0.930s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_My Drive""))",Chrome 115.0.0.0,,,2023-07-31 17:47:36,2023-07-31 17:47:37,0.420s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 115.0.0.0,,,2023-07-31 17:47:37,2023-07-31 17:47:37,0.345s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared With Me""))",Chrome 115.0.0.0,,,2023-07-31 17:47:37,2023-07-31 17:47:37,0.324s,PASSED
"click(findTestObject(""11-Cloud Files/a_My Drive""))",Chrome 115.0.0.0,,,2023-07-31 17:47:37,2023-07-31 17:47:38,0.475s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_CLOUD STORAGE""))",Chrome 115.0.0.0,,,2023-07-31 17:47:38,2023-07-31 17:47:40,2.016s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_MY FILES""))",Chrome 115.0.0.0,,,2023-07-31 17:47:40,2023-07-31 17:47:40,0.373s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:40,2023-07-31 17:47:43,3.015s,PASSED
"click(findTestObject(""11-Cloud Files/button_create_new_folderNew Folder""))",Chrome 115.0.0.0,,,2023-07-31 17:47:43,2023-07-31 17:47:44,0.374s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/mat-dialog-container_CreateNewFolder modal""))",Chrome 115.0.0.0,,,2023-07-31 17:47:44,2023-07-31 17:47:44,0.443s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_New folder""))",Chrome 115.0.0.0,,,2023-07-31 17:47:44,2023-07-31 17:47:45,0.413s,PASSED
"click(findTestObject(""11-Cloud Files/input_folderName""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 17:47:45,2023-07-31 17:47:45,0.364s,PASSED
"clickOffset(findTestObject(""11-Cloud Files/input_folderName""), 50, 50)",Chrome 115.0.0.0,,,2023-07-31 17:47:45,2023-07-31 17:47:45,0.492s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/mat-error_filename""))",Chrome 115.0.0.0,,,2023-07-31 17:47:45,2023-07-31 17:47:46,0.515s,PASSED
"verifyElementNotClickable(findTestObject(""11-Cloud Files/button_Create""))",Chrome 115.0.0.0,,,2023-07-31 17:47:46,2023-07-31 17:47:46,0.338s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:46,2023-07-31 17:47:49,3.012s,PASSED
,,,,,,,
Test Cases/11.1 - Cloud Files (My Drive)/02-Create new folder,Chrome 115.0.0.0,,,2023-07-31 17:47:49,2023-07-31 17:48:01,11.695s,PASSED
"setText(findTestObject(""11-Cloud Files/input_folderName""), folder_name)",Chrome 115.0.0.0,,,2023-07-31 17:47:49,2023-07-31 17:47:50,0.814s,PASSED
"click(findTestObject(""11-Cloud Files/button_Create""))",Chrome 115.0.0.0,,,2023-07-31 17:47:50,2023-07-31 17:47:51,0.503s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:51,2023-07-31 17:47:54,3.004s,PASSED
"click(findTestObject(""11-Cloud Files/button_create_new_folderNew Folder""))",Chrome 115.0.0.0,,,2023-07-31 17:47:54,2023-07-31 17:47:54,0.343s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/mat-dialog-container_CreateNewFolder modal""))",Chrome 115.0.0.0,,,2023-07-31 17:47:54,2023-07-31 17:47:55,0.873s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_New folder""))",Chrome 115.0.0.0,,,2023-07-31 17:47:55,2023-07-31 17:47:55,0.307s,PASSED
"setText(findTestObject(""11-Cloud Files/input_folderName""), folder_name2)",Chrome 115.0.0.0,,,2023-07-31 17:47:55,2023-07-31 17:47:56,0.778s,PASSED
"click(findTestObject(""11-Cloud Files/button_Create""))",Chrome 115.0.0.0,,,2023-07-31 17:47:56,2023-07-31 17:47:57,0.645s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 17:47:57,2023-07-31 17:48:00,3.004s,PASSED
"click(findTestObject(""11-Cloud Files/mat-icon_refresh""))",Chrome 115.0.0.0,,,2023-07-31 17:48:00,2023-07-31 17:48:00,0.392s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/td_Automation folder""))",Chrome 115.0.0.0,,,2023-07-31 17:48:00,2023-07-31 17:48:01,0.853s,PASSED
,,,,,,,
Test Cases/11.1 - Cloud Files (My Drive)/03-Upload Local File,Chrome 115.0.0.0,,,2023-07-31 17:48:01,2023-07-31 17:48:43,42.171s,FAILED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 17:48:01,2023-07-31 17:48:04,3.010s,PASSED
"click(findTestObject(""11-Cloud Files/button_cloud_upload Upload Files  Create Folders""))",Chrome 115.0.0.0,,,2023-07-31 17:48:04,2023-07-31 17:48:05,0.372s,PASSED
"uploadpackage.Upload.uploadFile(findTestObject(""11-Cloud Files/button_cloud_uploadUpload Local File""), upload_file)",Chrome 115.0.0.0,,,2023-07-31 17:48:05,2023-07-31 17:48:06,1.073s,PASSED
