Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
13.1-EL Sign (Send Documents),Chrome 115.0.0.0,,,2023-07-31 19:00:12,2023-07-31 19:04:41,4m - 29.652s,PASSED
,,,,,,,
Test Cases/13-EL Sign/01-Send Documents (Upload a file-required field is blank),Chrome 115.0.0.0,,,2023-07-31 19:00:12,2023-07-31 19:02:02,1m - 50.631s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 19:00:12,2023-07-31 19:00:14,2.156s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-07-31 19:00:14,2023-07-31 19:00:27,12.720s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 19:00:27,2023-07-31 19:00:27,0.141s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-31 19:00:27,2023-07-31 19:01:33,1m - 6.142s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-07-31 19:01:33,2023-07-31 19:01:36,2.636s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-07-31 19:01:36,2023-07-31 19:01:37,0.873s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-07-31 19:01:37,2023-07-31 19:01:38,0.997s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-07-31 19:01:38,2023-07-31 19:01:42,4.012s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-07-31 19:01:42,2023-07-31 19:01:42,0.435s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-07-31 19:01:42,2023-07-31 19:01:47,5.006s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""), 0)",Chrome 115.0.0.0,,,2023-07-31 19:01:47,2023-07-31 19:01:47,0.330s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 115.0.0.0,,,2023-07-31 19:01:47,2023-07-31 19:01:48,0.379s,PASSED
"verifyElementVisible(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 115.0.0.0,,,2023-07-31 19:01:48,2023-07-31 19:01:49,1.633s,PASSED
"verifyElementVisible(findTestObject(""13-EL Sign/h4_ELSign""))",Chrome 115.0.0.0,,,2023-07-31 19:01:49,2023-07-31 19:01:50,0.321s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 19:01:50,2023-07-31 19:01:53,3.014s,PASSED
"click(findTestObject(""13-EL Sign/div_Send Documents""))",Chrome 115.0.0.0,,,2023-07-31 19:01:53,2023-07-31 19:01:53,0.349s,PASSED
"uploadpackage.Upload.uploadFile(findTestObject(""Object Repository/13-EL Sign/div_Drag and drop or Upload PDF or Word document here""), upload_pdf_file)",Chrome 115.0.0.0,,,2023-07-31 19:01:53,2023-07-31 19:01:54,1.041s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 19:01:54,2023-07-31 19:01:57,3.007s,PASSED
"click(findTestObject(""13-EL Sign/input_documentTitle""))",Chrome 115.0.0.0,,,2023-07-31 19:01:57,2023-07-31 19:01:58,0.385s,PASSED
"sendKeys(findTestObject(""Object Repository/13-EL Sign/input_documentTitle""), Keys.chord(CONTROL, ""a""))",Chrome 115.0.0.0,,,2023-07-31 19:01:58,2023-07-31 19:01:58,0.333s,PASSED
"sendKeys(findTestObject(""Object Repository/13-EL Sign/input_documentTitle""), Keys.chord(BACK_SPACE))",Chrome 115.0.0.0,,,2023-07-31 19:01:58,2023-07-31 19:01:58,0.326s,PASSED
"clickOffset(findTestObject(""13-EL Sign/h4_ELSign""), 100, 100)",Chrome 115.0.0.0,,,2023-07-31 19:01:58,2023-07-31 19:01:59,0.670s,PASSED
"verifyElementVisible(findTestObject(""13-EL Sign/mat-error_Title is required""))",Chrome 115.0.0.0,,,2023-07-31 19:01:59,2023-07-31 19:01:59,0.450s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 19:01:59,2023-07-31 19:02:02,3.003s,PASSED
,,,,,,,
Test Cases/13-EL Sign/02-Send Documents (Upload a file-fill out required field),Chrome 115.0.0.0,,,2023-07-31 19:02:02,2023-07-31 19:02:11,8.466s,PASSED
"setText(findTestObject(""13-EL Sign/input_documentTitle""), ""sample.pdf"")",Chrome 115.0.0.0,,,2023-07-31 19:02:03,2023-07-31 19:02:03,0.698s,PASSED
"click(findTestObject(""13-EL Sign/button_UPLOAD""))",Chrome 115.0.0.0,,,2023-07-31 19:02:03,2023-07-31 19:02:04,0.510s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-07-31 19:02:04,2023-07-31 19:02:07,3.003s,PASSED
"click(findTestObject(""13-EL Sign/button_homeELSIGN DOCUMENTS""))",Chrome 115.0.0.0,,,2023-07-31 19:02:07,2023-07-31 19:02:08,1.035s,PASSED
