Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.1 - Settings (Invite users),Chrome 115.0.0.0,,,2023-08-04 17:07:08,2023-08-04 17:36:21,29m - 13.491s,PASSED
,,,,,,,
Test Cases/09-Settings/01 - Users (Invite new user but field are blank),Chrome 115.0.0.0,Manually added a subscription before running this,,2023-08-04 17:07:08,2023-08-04 17:11:27,4m - 19.285s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-04 17:07:08,2023-08-04 17:07:10,2.181s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-04 17:07:10,2023-08-04 17:09:48,2m - 37.153s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-04 17:09:48,2023-08-04 17:09:48,0.137s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-04 17:09:48,2023-08-04 17:10:53,1m - 5.147s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-04 17:10:53,2023-08-04 17:10:55,2.457s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-04 17:10:55,2023-08-04 17:10:56,1.051s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 115.0.0.0,,,2023-08-04 17:10:56,2023-08-04 17:10:57,0.932s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-04 17:10:57,2023-08-04 17:11:01,4.015s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 115.0.0.0,,,2023-08-04 17:11:01,2023-08-04 17:11:02,0.318s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-04 17:11:02,2023-08-04 17:11:07,5.007s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 115.0.0.0,,,2023-08-04 17:11:07,2023-08-04 17:11:07,0.338s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization""))",Chrome 115.0.0.0,,,2023-08-04 17:11:07,2023-08-04 17:11:08,0.942s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization Units""))",Chrome 115.0.0.0,,,2023-08-04 17:11:08,2023-08-04 17:11:08,0.371s,PASSED
"scrollToElement(findTestObject(""09-Settings/Users/div_Subscriptions""), 0)",Chrome 115.0.0.0,,,2023-08-04 17:11:08,2023-08-04 17:11:09,0.350s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Subscriptions""))",Chrome 115.0.0.0,,,2023-08-04 17:11:09,2023-08-04 17:11:09,0.305s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Users""))",Chrome 115.0.0.0,,,2023-08-04 17:11:09,2023-08-04 17:11:09,0.310s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-04 17:11:09,2023-08-04 17:11:12,3.009s,PASSED
"click(findTestObject(""09-Settings/Users/div_Users""))",Chrome 115.0.0.0,,,2023-08-04 17:11:12,2023-08-04 17:11:13,0.513s,PASSED
