Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
13.2-EL Sign (Received Documents),Chrome 115.0.0.0,,,2023-08-04 20:36:57,2023-08-04 20:40:15,3m - 18.651s,PASSED
,,,,,,,
Test Cases/13-EL Sign/10-Received Documents(Sign a Document),Chrome 115.0.0.0,,,2023-08-04 20:36:57,2023-08-04 20:39:23,2m - 26.569s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-04 20:36:57,2023-08-04 20:36:59,1.886s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-04 20:36:59,2023-08-04 20:37:11,11.729s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-04 20:37:11,2023-08-04 20:37:11,0.136s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-04 20:37:11,2023-08-04 20:38:10,59.426s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-04 20:38:10,2023-08-04 20:38:13,2.746s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-04 20:38:13,2023-08-04 20:38:14,0.962s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-04 20:38:14,2023-08-04 20:38:15,1.362s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-04 20:38:15,2023-08-04 20:38:19,4.003s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-04 20:38:19,2023-08-04 20:38:20,0.386s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-04 20:38:20,2023-08-04 20:38:25,5.004s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""), 0)",Chrome 115.0.0.0,,,2023-08-04 20:38:25,2023-08-04 20:38:25,0.367s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 115.0.0.0,,,2023-08-04 20:38:25,2023-08-04 20:38:26,0.417s,PASSED
"verifyElementVisible(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 115.0.0.0,,,2023-08-04 20:38:26,2023-08-04 20:38:27,1.786s,PASSED
"verifyElementVisible(findTestObject(""13-EL Sign/h4_ELSign""))",Chrome 115.0.0.0,,,2023-08-04 20:38:27,2023-08-04 20:38:28,0.337s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-04 20:38:28,2023-08-04 20:38:31,3.006s,PASSED
"click(findTestObject(""13-EL Sign/div_Received Documents""))",Chrome 115.0.0.0,,,2023-08-04 20:38:31,2023-08-04 20:38:31,0.449s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-04 20:38:31,2023-08-04 20:38:34,3.017s,PASSED
