Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.1- AI Assistant (ChatGPTbeta),Chrome 115.0.0.0,,,2023-08-07 19:58:27,2023-08-07 20:03:38,5m - 11.395s,FAILED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/01-Empty inquiry content and proceed asking,Chrome 115.0.0.0,,,2023-08-07 19:58:27,2023-08-07 20:02:57,4m - 29.655s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-07 19:58:27,2023-08-07 19:58:30,2.190s,PASSED
navigateToUrl(app_url_login),Chrome 115.0.0.0,,,2023-08-07 19:58:30,2023-08-07 20:01:35,3m - 5.364s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 20:01:35,2023-08-07 20:01:35,0.140s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 20:01:35,2023-08-07 20:02:36,1m - 0.639s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-07 20:02:36,2023-08-07 20:02:39,3.007s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-07 20:02:39,2023-08-07 20:02:40,0.879s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-07 20:02:40,2023-08-07 20:02:41,0.989s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-07 20:02:41,2023-08-07 20:02:45,4.009s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-07 20:02:45,2023-08-07 20:02:45,0.367s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-07 20:02:45,2023-08-07 20:02:50,5.015s,PASSED
"scrollToElement(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""), 30)",Chrome 115.0.0.0,,,2023-08-07 20:02:50,2023-08-07 20:02:50,0.339s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-07 20:02:50,2023-08-07 20:02:51,0.366s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-07 20:02:51,2023-08-07 20:02:51,0.434s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-07 20:02:51,2023-08-07 20:02:54,3.017s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Chat GPT (beta)""))",Chrome 115.0.0.0,,,2023-08-07 20:02:54,2023-08-07 20:02:55,0.426s,PASSED
"verifyElementText(findTestObject(""12-AI Assistant(beta)/h4_AI ASSISTANT (BETA)""), ""AI ASSISTANT (BETA)"")",Chrome 115.0.0.0,,,2023-08-07 20:02:55,2023-08-07 20:02:56,0.932s,PASSED
"setText(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask me anything input field""), """")",Chrome 115.0.0.0,,,2023-08-07 20:02:56,2023-08-07 20:02:56,0.643s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask ChatGPT button""))",Chrome 115.0.0.0,,,2023-08-07 20:02:56,2023-08-07 20:02:57,0.340s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/askmeanything_Emptyfield""))",Chrome 115.0.0.0,,,2023-08-07 20:02:57,2023-08-07 20:02:57,0.317s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/02-Ask EL Chat GPT,Chrome 115.0.0.0,,,2023-08-07 20:02:57,2023-08-07 20:03:01,3.695s,PASSED
"setText(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask me anything input field""), ""1+1"")",Chrome 115.0.0.0,,,2023-08-07 20:02:57,2023-08-07 20:02:58,0.880s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask ChatGPT button""))",Chrome 115.0.0.0,,,2023-08-07 20:02:58,2023-08-07 20:02:59,0.555s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Generated answer assertion""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 20:02:59,2023-08-07 20:03:01,2.075s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/04-Clear previous searches,Chrome 115.0.0.0,,,2023-08-07 20:03:01,2023-08-07 20:03:02,1.866s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Clear button""))",Chrome 115.0.0.0,,,2023-08-07 20:03:01,2023-08-07 20:03:01,0.324s,PASSED
"verifyElementNotPresent(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Generated answer assertion""), 30)",Chrome 115.0.0.0,,,2023-08-07 20:03:01,2023-08-07 20:03:02,0.969s,PASSED
"verifyTextNotPresent(""1+1 equals 2."", false)",Chrome 115.0.0.0,,,2023-08-07 20:03:02,2023-08-07 20:03:02,0.419s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/03-Check history,Chrome 115.0.0.0,,,2023-08-07 20:03:02,2023-08-07 20:03:05,2.681s,PASSED
now = LocalDateTime.now(),Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.006s,PASSED
minus12Hours = now.minusHours(12),Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.001s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MM/dd/yyyy h:mm a"")",Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.004s,PASSED
formattedTime = minus12Hours.format(formatter),Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.004s,PASSED
comment(formattedTime),Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.006s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/History button""))",Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:03,0.351s,PASSED
"verifyElementText(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/div_Chat History heading""), ""Chat History"")",Chrome 115.0.0.0,,,2023-08-07 20:03:03,2023-08-07 20:03:04,0.963s,PASSED
"historytime = """"",Chrome 115.0.0.0,,,2023-08-07 20:03:04,2023-08-07 20:03:04,0.001s,PASSED
"historytime = getText(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Chat history-Latest line with date""))",Chrome 115.0.0.0,,,2023-08-07 20:03:04,2023-08-07 20:03:04,0.305s,PASSED
historytime.contains(formattedTime),Chrome 115.0.0.0,,,2023-08-07 20:03:04,2023-08-07 20:03:04,0.001s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Chat history-Latest line with date""))",Chrome 115.0.0.0,,,2023-08-07 20:03:04,2023-08-07 20:03:05,0.320s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/History-Generated answer assertion""))",Chrome 115.0.0.0,,,2023-08-07 20:03:05,2023-08-07 20:03:05,0.525s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/05-Use my own ChatGPT account,Chrome 115.0.0.0,,,2023-08-07 20:03:05,2023-08-07 20:03:38,33.301s,FAILED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Use my ownChatGPT account""))",Chrome 115.0.0.0,,,2023-08-07 20:03:05,2023-08-07 20:03:38,33.123s,FAILED
