Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
05-Chat,Chrome 115.0.0.0,,,2023-08-09 13:52:17,2023-08-09 15:00:07,1h - 7m - 49.194s,FAILED
,,,,,,,
Test Cases/05- Chat/01-Creating a Chat group,Chrome 115.0.0.0,,,2023-08-09 13:52:18,2023-08-09 14:01:42,9m - 24.686s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-09 13:52:18,2023-08-09 13:52:20,2.624s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-09 13:52:20,2023-08-09 13:52:39,18.315s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 13:52:39,2023-08-09 13:52:39,0.139s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-09 13:52:39,2023-08-09 13:53:41,1m - 2.214s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-08-09 13:53:41,2023-08-09 13:53:43,2.011s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Side Menu double arrow icon""))",Chrome 115.0.0.0,,,2023-08-09 13:53:43,2023-08-09 13:53:44,0.657s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-08-09 13:53:44,2023-08-09 13:53:46,2.011s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-09 13:53:46,2023-08-09 13:53:46,0.415s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-08-09 13:53:46,2023-08-09 13:53:48,2.010s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 13:53:48,2023-08-09 13:53:49,0.487s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-08-09 13:53:49,2023-08-09 13:53:51,2.015s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 13:53:51,2023-08-09 13:53:51,0.430s,PASSED
"click(findTestObject(""05-Chat/01- Creating a Chat group/div_Chat""))",Chrome 115.0.0.0,,,2023-08-09 13:53:51,2023-08-09 13:53:52,0.996s,PASSED
delay(delay_1second),Chrome 115.0.0.0,,,2023-08-09 13:53:52,2023-08-09 13:53:53,1.014s,PASSED
"verifyElementVisible(findTestObject(""05-Chat/01- Creating a Chat group/h4_CHAT""))",Chrome 115.0.0.0,,,2023-08-09 13:53:53,2023-08-09 13:54:23,30.244s,PASSED
"verifyElementVisible(findTestObject(""05-Chat/01- Creating a Chat group/div_No chat available""))",Chrome 115.0.0.0,,,2023-08-09 13:54:23,2023-08-09 13:54:54,30.232s,PASSED
"verifyElementVisible(findTestObject(""05-Chat/01- Creating a Chat group/h5_Chat securely with your contacts here""))",Chrome 115.0.0.0,,,2023-08-09 13:54:54,2023-08-09 13:55:24,30.248s,PASSED
delay(delay_2seconds),Chrome 115.0.0.0,,,2023-08-09 13:55:24,2023-08-09 13:55:26,2.002s,PASSED
