Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.3 - Settings (Invited users),Chrome 115.0.0.0,,,2023-08-09 16:46:58,2023-08-09 16:52:10,5m - 11.263s,PASSED
,,,,,,,
Test Cases/09-Settings/16 - Users (Invited User - Search),Chrome 115.0.0.0,,,2023-08-09 16:46:59,2023-08-09 16:51:22,4m - 23.494s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-09 16:46:59,2023-08-09 16:47:01,1.961s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-09 16:47:01,2023-08-09 16:49:44,2m - 43.262s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 16:49:44,2023-08-09 16:49:44,0.135s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-09 16:49:44,2023-08-09 16:50:46,1m - 1.413s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-09 16:50:46,2023-08-09 16:50:49,3.060s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-09 16:50:49,2023-08-09 16:50:50,0.979s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 115.0.0.0,,,2023-08-09 16:50:50,2023-08-09 16:50:50,0.482s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 16:50:50,2023-08-09 16:50:53,3.007s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 115.0.0.0,,,2023-08-09 16:50:53,2023-08-09 16:50:54,0.478s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-09 16:50:54,2023-08-09 16:50:58,4.017s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 115.0.0.0,,,2023-08-09 16:50:58,2023-08-09 16:50:58,0.450s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization""))",Chrome 115.0.0.0,,,2023-08-09 16:50:58,2023-08-09 16:50:59,0.428s,PASSED
