Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
14-Income and Expense,Chrome 115.0.0.0,,,2023-08-09 18:59:16,2023-08-09 19:03:21,4m - 5.418s,PASSED
,,,,,,,
Test Cases/14-Income and Expense/01-Add Company (required field is blank),Chrome 115.0.0.0,,,2023-08-09 18:59:16,2023-08-09 19:01:05,1m - 48.810s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-09 18:59:16,2023-08-09 18:59:18,2.057s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-09 18:59:18,2023-08-09 18:59:29,10.592s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 18:59:29,2023-08-09 18:59:29,0.133s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-09 18:59:29,2023-08-09 19:00:32,1m - 2.701s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-09 19:00:32,2023-08-09 19:00:33,1.248s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-09 19:00:33,2023-08-09 19:00:35,2.027s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 19:00:35,2023-08-09 19:00:36,1.017s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-09 19:00:36,2023-08-09 19:00:40,4.015s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 19:00:40,2023-08-09 19:00:40,0.412s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-09 19:00:40,2023-08-09 19:00:45,5.007s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_Income and Expense""), 0)",Chrome 115.0.0.0,,,2023-08-09 19:00:45,2023-08-09 19:00:46,0.343s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Income and Expense""))",Chrome 115.0.0.0,,,2023-08-09 19:00:46,2023-08-09 19:00:46,0.389s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/div_IncomeAndExpense Tracker""))",Chrome 115.0.0.0,,,2023-08-09 19:00:46,2023-08-09 19:00:48,1.568s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/th_Income  Expense Tracker""))",Chrome 115.0.0.0,,,2023-08-09 19:00:48,2023-08-09 19:00:48,0.311s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:00:48,2023-08-09 19:00:51,3.015s,PASSED
"click(findTestObject(""14-Income and Expense/button_ADD COMPANY""))",Chrome 115.0.0.0,,,2023-08-09 19:00:51,2023-08-09 19:00:52,0.468s,PASSED
"click(findTestObject(""14-Income and Expense/mat-icon_clear""))",Chrome 115.0.0.0,,,2023-08-09 19:00:52,2023-08-09 19:00:52,0.915s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:00:52,2023-08-09 19:00:55,3.004s,PASSED
"click(findTestObject(""14-Income and Expense/button_ADD COMPANY""))",Chrome 115.0.0.0,,,2023-08-09 19:00:55,2023-08-09 19:00:56,0.555s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-dialog-container_Add CompanyModal""))",Chrome 115.0.0.0,,,2023-08-09 19:00:56,2023-08-09 19:00:57,0.977s,PASSED
"click(findTestObject(""14-Income and Expense/input_CompanyName""))",Chrome 115.0.0.0,,,2023-08-09 19:00:57,2023-08-09 19:00:57,0.360s,PASSED
"click(findTestObject(""14-Income and Expense/dropdown_CompanyType""))",Chrome 115.0.0.0,,,2023-08-09 19:00:57,2023-08-09 19:00:58,0.329s,PASSED
"doubleClick(findTestObject(""14-Income and Expense/input_CompanyName""))",Chrome 115.0.0.0,,,2023-08-09 19:00:58,2023-08-09 19:00:58,0.664s,PASSED
"click(findTestObject(""14-Income and Expense/dropdown_ChoosingDate""))",Chrome 115.0.0.0,,,2023-08-09 19:00:58,2023-08-09 19:00:59,0.692s,PASSED
"doubleClick(findTestObject(""14-Income and Expense/mat-icon_account""))",Chrome 115.0.0.0,,,2023-08-09 19:00:59,2023-08-09 19:01:00,0.573s,PASSED
"click(findTestObject(""14-Income and Expense/input_CompanyName""))",Chrome 115.0.0.0,,,2023-08-09 19:01:00,2023-08-09 19:01:01,1.016s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_Company name is required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:01,2023-08-09 19:01:01,0.527s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_Company type is required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:01,2023-08-09 19:01:01,0.308s,PASSED
"verifyElementNotClickable(findTestObject(""14-Income and Expense/button_BEGIN""))",Chrome 115.0.0.0,,,2023-08-09 19:01:01,2023-08-09 19:01:02,0.305s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:01:02,2023-08-09 19:01:05,3.009s,PASSED
,,,,,,,
Test Cases/14-Income and Expense/02-Add Company (fill out required field),Chrome 115.0.0.0,,,2023-08-09 19:01:05,2023-08-09 19:01:14,8.788s,PASSED
"setText(findTestObject(""14-Income and Expense/input_CompanyName""), company_name)",Chrome 115.0.0.0,,,2023-08-09 19:01:05,2023-08-09 19:01:06,0.826s,PASSED
"click(findTestObject(""14-Income and Expense/dropdown_CompanyType""))",Chrome 115.0.0.0,,,2023-08-09 19:01:06,2023-08-09 19:01:06,0.451s,PASSED
"click(findTestObject(""14-Income and Expense/mat-option_Consulting""))",Chrome 115.0.0.0,,,2023-08-09 19:01:06,2023-08-09 19:01:07,0.542s,PASSED
"click(findTestObject(""14-Income and Expense/dropdown_ChoosingDate""))",Chrome 115.0.0.0,,,2023-08-09 19:01:07,2023-08-09 19:01:07,0.657s,PASSED
"click(findTestObject(""14-Income and Expense/mat-option_End of September""))",Chrome 115.0.0.0,,,2023-08-09 19:01:07,2023-08-09 19:01:08,0.650s,PASSED
"click(findTestObject(""14-Income and Expense/mat-icon_account""))",Chrome 115.0.0.0,,,2023-08-09 19:01:08,2023-08-09 19:01:09,0.684s,PASSED
"click(findTestObject(""14-Income and Expense/mat-option_GG TESTER""))",Chrome 115.0.0.0,,,2023-08-09 19:01:09,2023-08-09 19:01:09,0.456s,PASSED
delay(delay_1second),Chrome 115.0.0.0,,,2023-08-09 19:01:09,2023-08-09 19:01:10,1.006s,PASSED
"click(findTestObject(""14-Income and Expense/button_BEGIN""))",Chrome 115.0.0.0,,,2023-08-09 19:01:10,2023-08-09 19:01:11,0.329s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:01:11,2023-08-09 19:01:14,3.004s,PASSED
,,,,,,,
Test Cases/14-Income and Expense/03-Add receipt (required field is blank),Chrome 115.0.0.0,,,2023-08-09 19:01:14,2023-08-09 19:01:29,14.999s,PASSED
"click(findTestObject(""14-Income and Expense/button_addReceipt""))",Chrome 115.0.0.0,,,2023-08-09 19:01:14,2023-08-09 19:01:14,0.438s,PASSED
"click(findTestObject(""14-Income and Expense/mat-icon_clear""))",Chrome 115.0.0.0,,,2023-08-09 19:01:14,2023-08-09 19:01:15,1.141s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:01:15,2023-08-09 19:01:18,3.015s,PASSED
"click(findTestObject(""14-Income and Expense/button_addReceipt""))",Chrome 115.0.0.0,,,2023-08-09 19:01:18,2023-08-09 19:01:19,0.346s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-dialog-container_Add ReceiptModal""))",Chrome 115.0.0.0,,,2023-08-09 19:01:19,2023-08-09 19:01:20,0.999s,PASSED
"click(findTestObject(""14-Income and Expense/input_VendorName""))",Chrome 115.0.0.0,,,2023-08-09 19:01:20,2023-08-09 19:01:20,0.441s,PASSED
"sendKeys(findTestObject(""14-Income and Expense/input_VendorName""), Keys.chord(ESCAPE))",Chrome 115.0.0.0,,,2023-08-09 19:01:20,2023-08-09 19:01:21,0.352s,PASSED
"click(findTestObject(""14-Income and Expense/input_AccountType""))",Chrome 115.0.0.0,,,2023-08-09 19:01:21,2023-08-09 19:01:21,0.576s,PASSED
"doubleClick(findTestObject(""14-Income and Expense/input_VendorName""))",Chrome 115.0.0.0,,,2023-08-09 19:01:21,2023-08-09 19:01:22,0.678s,PASSED
"click(findTestObject(""14-Income and Expense/input_Amount""))",Chrome 115.0.0.0,,,2023-08-09 19:01:22,2023-08-09 19:01:22,0.600s,PASSED
"click(findTestObject(""14-Income and Expense/input_VendorName""))",Chrome 115.0.0.0,,,2023-08-09 19:01:22,2023-08-09 19:01:23,0.555s,PASSED
"sendKeys(findTestObject(""14-Income and Expense/input_VendorName""), Keys.chord(ESCAPE))",Chrome 115.0.0.0,,,2023-08-09 19:01:23,2023-08-09 19:01:23,0.547s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_Vendor name is required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:23,2023-08-09 19:01:24,0.530s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_account type is required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:24,2023-08-09 19:01:24,0.311s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_Receipt amount is required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:24,2023-08-09 19:01:25,0.309s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-hint_Required""))",Chrome 115.0.0.0,,,2023-08-09 19:01:25,2023-08-09 19:01:25,0.338s,PASSED
"scrollToElement(findTestObject(""14-Income and Expense/button_Done""), 0)",Chrome 115.0.0.0,,,2023-08-09 19:01:25,2023-08-09 19:01:25,0.329s,PASSED
"verifyElementNotClickable(findTestObject(""14-Income and Expense/button_Done""))",Chrome 115.0.0.0,,,2023-08-09 19:01:25,2023-08-09 19:01:26,0.315s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:01:26,2023-08-09 19:01:29,3.008s,PASSED
,,,,,,,
Test Cases/14-Income and Expense/04-Add Receipt (Amount is less than 0),Chrome 115.0.0.0,,,2023-08-09 19:01:29,2023-08-09 19:01:33,4.883s,PASSED
"setText(findTestObject(""14-Income and Expense/input_Amount""), ""-9"")",Chrome 115.0.0.0,,,2023-08-09 19:01:29,2023-08-09 19:01:29,0.623s,PASSED
"click(findTestObject(""14-Income and Expense/input_VendorName""))",Chrome 115.0.0.0,,,2023-08-09 19:01:29,2023-08-09 19:01:30,0.547s,PASSED
"verifyElementVisible(findTestObject(""14-Income and Expense/mat-error_Receipt amount should be greater than 0""))",Chrome 115.0.0.0,,,2023-08-09 19:01:30,2023-08-09 19:01:30,0.523s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:01:30,2023-08-09 19:01:33,3.011s,PASSED
,,,,,,,
Test Cases/14-Income and Expense/05-Add receipt (fill out required field),Chrome 115.0.0.0,,,2023-08-09 19:01:34,2023-08-09 19:01:48,14.427s,PASSED
"setText(findTestObject(""14-Income and Expense/input_VendorName""), vendor_name)",Chrome 115.0.0.0,,,2023-08-09 19:01:34,2023-08-09 19:01:34,0.744s,PASSED
