Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.4-AI Assistant (Information),Chrome 115.0.0.0,,,2023-08-09 19:47:11,2023-08-09 19:48:54,1m - 42.554s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.4-Information/01-Verify content of information page,Chrome 115.0.0.0,,,2023-08-09 19:47:11,2023-08-09 19:48:47,1m - 36.280s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-09 19:47:11,2023-08-09 19:47:13,1.864s,PASSED
navigateToUrl(app_url_login),Chrome 115.0.0.0,,,2023-08-09 19:47:13,2023-08-09 19:47:25,11.618s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 19:47:25,2023-08-09 19:47:25,0.130s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-09 19:47:25,2023-08-09 19:48:26,1m - 1.206s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-09 19:48:26,2023-08-09 19:48:30,3.292s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-09 19:48:30,2023-08-09 19:48:30,0.936s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 19:48:30,2023-08-09 19:48:31,0.969s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-09 19:48:31,2023-08-09 19:48:35,4.002s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-09 19:48:35,2023-08-09 19:48:36,0.406s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-09 19:48:36,2023-08-09 19:48:41,5.014s,PASSED
"scrollToElement(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""), 30)",Chrome 115.0.0.0,,,2023-08-09 19:48:41,2023-08-09 19:48:41,0.394s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-09 19:48:41,2023-08-09 19:48:42,0.359s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-09 19:48:42,2023-08-09 19:48:42,0.446s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-09 19:48:42,2023-08-09 19:48:45,3.010s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.4-Information/Information""))",Chrome 115.0.0.0,,,2023-08-09 19:48:45,2023-08-09 19:48:46,0.438s,PASSED
"verifyElementText(findTestObject(""12-AI Assistant(beta)/12.4-Information/Information heading message assertion""), ""Welcome. Click the ChatGPT tab to get started!"")",Chrome 115.0.0.0,,,2023-08-09 19:48:46,2023-08-09 19:48:46,0.949s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.4-Information/Service terms link""))",Chrome 115.0.0.0,,,2023-08-09 19:48:46,2023-08-09 19:48:47,0.360s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.4-Information/Terms of use link""))",Chrome 115.0.0.0,,,2023-08-09 19:48:47,2023-08-09 19:48:47,0.311s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/12.4-Information/Usage policies""))",Chrome 115.0.0.0,,,2023-08-09 19:48:47,2023-08-09 19:48:47,0.314s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.4-Information/02-Access Service terms,Chrome 115.0.0.0,,,2023-08-09 19:48:47,2023-08-09 19:48:52,4.728s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.4-Information/Service terms link""))",Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:48,0.451s,PASSED
url = getUrl(),Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:48,0.015s,PASSED
"url.contains(""https://openai.com/policies/service-terms"")",Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:48,0.001s,PASSED
closeWindowIndex(1),Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:48,0.068s,PASSED
switchToWindowIndex(0),Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:48,0.020s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-09 19:48:48,2023-08-09 19:48:52,4.009s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.4-Information/03- Access terms of use,Chrome 115.0.0.0,,,2023-08-09 19:48:52,2023-08-09 19:48:53,0.731s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.4-Information/Terms of use link""))",Chrome 115.0.0.0,,,2023-08-09 19:48:52,2023-08-09 19:48:53,0.424s,PASSED
