Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
15-EL HealthCheck,Chrome 115.0.0.0,,,2023-08-10 11:47:07,2023-08-10 11:49:48,2m - 41.102s,PASSED
,,,,,,,
Test Cases/15-EL HealthCheck/01-Unactivated info tracker,Chrome 115.0.0.0,,,2023-08-10 11:47:07,2023-08-10 11:49:33,2m - 26.340s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 11:47:07,2023-08-10 11:47:09,1.863s,PASSED
navigateToUrl(app_url_login),Chrome 115.0.0.0,,,2023-08-10 11:47:09,2023-08-10 11:48:08,59.151s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 11:48:08,2023-08-10 11:48:08,0.148s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], CONTINUE_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 11:48:08,2023-08-10 11:49:15,1m - 6.521s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-10 11:49:15,2023-08-10 11:49:18,3.234s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-10 11:49:18,2023-08-10 11:49:19,0.931s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-10 11:49:19,2023-08-10 11:49:20,1.012s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-10 11:49:20,2023-08-10 11:49:24,4.010s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-10 11:49:24,2023-08-10 11:49:24,0.357s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-10 11:49:24,2023-08-10 11:49:27,3.003s,PASSED
"scrollToElement(findTestObject(""15-EL HealthCheck/Inactive information tracker/button_EL HealthCheck""), 0)",Chrome 115.0.0.0,,,2023-08-10 11:49:27,2023-08-10 11:49:28,0.330s,PASSED
"click(findTestObject(""15-EL HealthCheck/Inactive information tracker/button_EL HealthCheck""))",Chrome 115.0.0.0,,,2023-08-10 11:49:28,2023-08-10 11:49:28,0.346s,PASSED
"verifyElementVisible(findTestObject(""15-EL HealthCheck/Inactive information tracker/h4_INFO TRACKER""))",Chrome 115.0.0.0,,,2023-08-10 11:49:28,2023-08-10 11:49:30,1.510s,PASSED
"verifyElementVisible(findTestObject(""15-EL HealthCheck/Inactive information tracker/button_ACTIVATE""))",Chrome 115.0.0.0,,,2023-08-10 11:49:30,2023-08-10 11:49:30,0.344s,PASSED
"verifyElementVisible(findTestObject(""15-EL HealthCheck/Inactive information tracker/Activate message""))",Chrome 115.0.0.0,,,2023-08-10 11:49:30,2023-08-10 11:49:30,0.319s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-10 11:49:30,2023-08-10 11:49:33,3.014s,PASSED
,,,,,,,
Test Cases/15-EL HealthCheck/02-Activate Info tracker,Chrome 115.0.0.0,,,2023-08-10 11:49:33,2023-08-10 11:49:48,14.583s,PASSED
